case_id,model,time_s,T,P,density,X_CH4,X_O2,X_CO2,X_H2O,X_CO,X_H2,X_OH
c000,full,0.0,994.055,1732779.09,5.652888024633536,0.1473888784402232,0.1791199835209615,0.0,0.0,0.0,0.0,0.0
c000,full,5.8462999999999995e-09,994.0549999933972,1732779.0899999999,5.652888024671083,0.1473888784391333,0.1791199835198717,1.3955513568588947e-27,2.053000018137825e-18,4.172886307142794e-25,1.361204749314147e-18,8.88905092841896e-18
c000,full,6.400397396717203e-09,994.0549999927715,1732779.0899999999,5.652888024674642,0.14738887843902998,0.17911998351976843,5.2479005702955645e-27,4.844563515736017e-18,1.39715623070144e-24,1.3052669054936768e-18,8.68520046266298e-18
c000,full,7.007010730873303e-09,994.0549999920863,1732779.09,5.652888024678538,0.14738887843891688,0.17911998351965536,9.561493256478433e-27,7.980653770631688e-18,2.4949314989262296e-24,1.2615161857046653e-18,8.578737368287454e-18
c000,full,7.671117329020248e-09,994.0549999913363,1732779.09,5.652888024682803,0.14738887843879306,0.17911998351953157,1.4399129852480752e-26,1.1509797134957335e-17,3.726760472303698e-24,1.2345798339937548e-18,8.602062665239077e-18
c000,full,8.398166256020647e-09,994.0549999905152,1732779.09,5.652888024687472,0.14738887843865753,0.179119983519396,1.9833351943420226e-26,1.5488270550039146e-17,5.111306408368266e-24,1.2302130111953784e-18,8.795248554450151e-18
c000,full,9.19412302520105e-09,994.0549999896162,1732779.0900000003,5.652888024692585,0.14738887843850915,0.17911998351924766,2.5948117779264875e-26,1.998146179614245e-17,6.670184305867353e-24,1.2555425596126009e-18,9.207678804607386e-18
c000,full,1.0065518546019657e-08,994.0549999886321,1732779.09,5.652888024698181,0.14738887843834664,0.17911998351908523,3.284078594789557e-26,2.5065482882016503e-17,8.428475510540717e-24,1.3193610436723463e-18,9.900025941355714e-18
c000,full,1.1019502710868959e-08,994.0549999875547,1732779.09,5.652888024704308,0.1473888784381688,0.17911998351890737,4.062446606329049e-26,3.082908522828723e-17,1.0415337719951115e-23,1.432481226364587e-18,1.0946633161197419e-17
c000,full,1.2063903060698897e-08,994.0549999863752,1732779.0900000003,5.652888024711016,0.1473888784379741,0.1791199835187127,4.943080679334916e-26,3.737593480641994e-17,1.266472868606944e-23,1.6081631752621857e-18,1.2438382477396547e-17
c000,full,1.3207289010818162e-08,994.0549999850838,1732779.09,5.652888024718359,0.1473888784377609,0.17911998351849956,5.94133052730313e-26,4.482731677585527e-17,1.521626548648688e-23,1.862628631329782e-18,1.448614689686305e-17
c000,full,1.4459042163852767e-08,994.0549999836701,1732779.09,5.652888024726399,0.14738887843752752,0.17911998351826625,7.075123837098e-26,5.332535278657759e-17,1.8116245510746748e-23,2.2156801992081653e-18,1.7224943963537535e-17
c000,full,1.5829433286787864e-08,994.0549999821225,1732779.0900000003,5.6528880247352,0.14738887843727205,0.17911998351801078,8.365433593578322e-26,6.303683042676586e-17,2.1418860426470817e-23,2.6914464258735986e-18,2.0818931430419524e-17
c000,full,1.7329706583696673e-08,994.0549999804281,1732779.0900000003,5.652888024744835,0.14738887843699233,0.1791199835177311,9.836833968148346e-26,7.41577638272895e-17,2.5187640517377415e-23,3.3192780413975006e-18,2.5467413912518204e-17
c000,full,1.897217195562417e-08,994.0549999785732,1732779.09,5.652888024755383,0.1473888784366861,0.17911998351742495,1.1518161954774103e-25,8.691882782409681e-17,2.9497174121679605e-23,4.134825679869354e-18,3.141206305368008e-17
c000,full,2.0770306004626565e-08,994.0549999765424,1732779.0900000003,5.6528880247669315,0.14738887843635087,0.17911998351708974,1.3443305310698374e-25,1.0159183608981308e-16,3.443515568400523e-23,5.181335446889908e-18,3.894559412269969e-17
c000,full,2.273886261071653e-08,994.0549999743192,1732779.0900000003,5.652888024779575,0.14738887843598383,0.17911998351672279,1.5652141398997818e-25,1.1849746719244674e-16,4.0104826453664745e-23,6.511205951966862e-18,4.842219037033032e-17
c000,full,2.4893993989008516e-08,994.0549999718853,1732779.0900000003,5.652888024793415,0.14738887843558202,0.17911998351632102,1.8191656368175175e-25,1.380144827187622e-16,4.6627884460396404e-23,8.187859118864092e-18,6.027002452528341e-17
c000,full,2.725338322035209e-08,994.0549999692207,1732779.09,5.652888024808567,0.14738887843514212,0.17911998351588118,2.1117279898265624e-25,1.6059072972702413e-16,5.414795548740927e-23,1.0287987511207937e-17,7.50062963977735e-17
c000,full,2.983638934287979e-08,994.0549999663037,1732779.09,5.652888024825155,0.1473888784346605,0.17911998351539965,2.44944776828886e-25,1.8675627744342246e-16,6.283473483400198e-23,1.2904253408125974e-17,9.325528898730627e-17
c000,full,3.266420619496253e-08,994.0549999631102,1732779.0900000003,5.652888024843316,0.14738887843413326,0.1791199835148725,2.8400652129319604e-25,2.1713910717613984e-16,7.288893130755166e-23,1.614852984734417e-17,1.1577004550664897e-16
