reaction_index,kept,score_abs_initial_rop,equation
0,True,2.873569897648009e-11,2 O + M <=> O2 + M
1,False,0.0,H + O + M <=> OH + M
2,False,0.0,H2 + O <=> H + OH
3,False,0.0,HO2 + O <=> O2 + OH
4,False,0.0,H2O2 + O <=> HO2 + OH
5,False,0.0,CH + O <=> CO + H
6,False,0.0,CH2 + O <=> H + HCO
7,False,0.0,CH2(S) + O <=> CO + H2
8,False,0.0,CH2(S) + O <=> H + HCO
9,False,0.0,CH3 + O <=> CH2O + H
10,False,0.0,CH4 + O <=> CH3 + OH
11,False,0.0,CO + O (+M) <=> CO2 (+M)
12,False,0.0,HCO + O <=> CO + OH
13,False,0.0,HCO + O <=> CO2 + H
14,False,0.0,CH2O + O <=> HCO + OH
15,False,0.0,CH2OH + O <=> CH2O + OH
16,True,0.0,CH3O + O <=> CH2O + OH
17,True,0.0,CH3OH + O <=> CH2OH + OH
18,True,0.0,CH3OH + O <=> CH3O + OH
19,True,0.0,C2H + O <=> CH + CO
20,True,0.0,C2H2 + O <=> H + HCCO
21,True,0.0,C2H2 + O <=> C2H + OH
22,True,0.0,C2H2 + O <=> CH2 + CO
23,True,0.0,C2H3 + O <=> CH2CO + H
24,True,0.0,C2H4 + O <=> CH3 + HCO
25,True,0.0,C2H5 + O <=> CH2O + CH3
26,True,0.0,C2H6 + O <=> C2H5 + OH
27,True,0.0,HCCO + O <=> 2 CO + H
28,True,0.0,CH2CO + O <=> HCCO + OH
29,True,0.0,CH2CO + O <=> CH2 + CO2
30,True,0.0,CO + O2 <=> CO2 + O
31,False,0.0,CH2O + O2 <=> HCO + HO2
32,False,0.0,H + O2 + M <=> HO2 + M
33,False,0.0,H + O2 + O2 <=> HO2 + O2
34,False,0.0,H + O2 + H2O <=> HO2 + H2O
35,False,0.0,H + O2 + N2 <=> HO2 + N2
36,False,0.0,H + O2 + AR <=> HO2 + AR
37,False,0.0,H + O2 <=> O + OH
38,False,0.0,2 H + M <=> H2 + M
39,False,0.0,2 H + H2 <=> H2 + H2
40,False,0.0,2 H + H2O <=> H2 + H2O
41,False,0.0,2 H + CO2 <=> H2 + CO2
42,False,0.0,H + OH + M <=> H2O + M
43,False,0.0,H + HO2 <=> H2O + O
44,False,0.0,H + HO2 <=> H2 + O2
45,False,0.0,H + HO2 <=> 2 OH
46,False,0.0,H + H2O2 <=> H2 + HO2
47,False,0.0,H + H2O2 <=> H2O + OH
48,False,0.0,CH + H <=> C + H2
49,False,0.0,CH2 + H (+M) <=> CH3 (+M)
50,False,0.0,CH2(S) + H <=> CH + H2
51,True,7.576514215503987e-05,CH3 + H (+M) <=> CH4 (+M)
52,False,0.0,CH4 + H <=> CH3 + H2
53,False,0.0,H + HCO (+M) <=> CH2O (+M)
54,False,0.0,H + HCO <=> CO + H2
55,False,0.0,CH2O + H (+M) <=> CH2OH (+M)
56,False,0.0,CH2O + H (+M) <=> CH3O (+M)
57,False,0.0,CH2O + H <=> H2 + HCO
58,False,0.0,CH2OH + H (+M) <=> CH3OH (+M)
59,False,0.0,CH2OH + H <=> CH2O + H2
60,False,0.0,CH2OH + H <=> CH3 + OH
61,False,0.0,CH2OH + H <=> CH2(S) + H2O
62,False,0.0,CH3O + H (+M) <=> CH3OH (+M)
63,False,0.0,CH3O + H <=> CH2OH + H
64,False,0.0,CH3O + H <=> CH2O + H2
65,False,0.0,CH3O + H <=> CH3 + OH
66,False,0.0,CH3O + H <=> CH2(S) + H2O
67,False,0.0,CH3OH + H <=> CH2OH + H2
68,False,0.0,CH3OH + H <=> CH3O + H2
69,False,0.0,C2H + H (+M) <=> C2H2 (+M)
70,False,0.0,C2H2 + H (+M) <=> C2H3 (+M)
71,False,0.0,C2H3 + H (+M) <=> C2H4 (+M)
72,False,0.0,C2H3 + H <=> C2H2 + H2
73,False,0.0,C2H4 + H (+M) <=> C2H5 (+M)
74,False,0.0,C2H4 + H <=> C2H3 + H2
75,False,0.0,C2H5 + H (+M) <=> C2H6 (+M)
76,False,0.0,C2H5 + H <=> C2H4 + H2
77,False,0.0,C2H6 + H <=> C2H5 + H2
78,False,0.0,H + HCCO <=> CH2(S) + CO
79,False,0.0,CH2CO + H <=> H2 + HCCO
80,False,0.0,CH2CO + H <=> CH3 + CO
81,False,0.0,H + HCCOH <=> CH2CO + H
82,False,0.0,CO + H2 (+M) <=> CH2O (+M)
83,False,0.0,H2 + OH <=> H + H2O
84,False,0.0,2 OH (+M) <=> H2O2 (+M)
85,False,0.0,2 OH <=> H2O + O
86,True,0.0,HO2 + OH <=> H2O + O2
87,False,0.0,H2O2 + OH <=> H2O + HO2
88,False,0.0,H2O2 + OH <=> H2O + HO2
89,False,0.0,C + OH <=> CO + H
90,False,0.0,CH + OH <=> H + HCO
91,False,0.0,CH2 + OH <=> CH2O + H
92,False,0.0,CH2 + OH <=> CH + H2O
93,False,0.0,CH2(S) + OH <=> CH2O + H
94,False,0.0,CH3 + OH (+M) <=> CH3OH (+M)
95,False,0.0,CH3 + OH <=> CH2 + H2O
96,False,0.0,CH3 + OH <=> CH2(S) + H2O
97,True,0.0,CH4 + OH <=> CH3 + H2O
98,True,0.0,CO + OH <=> CO2 + H
99,True,0.0,HCO + OH <=> CO + H2O
100,True,0.0,CH2O + OH <=> H2O + HCO
101,True,0.0,CH2OH + OH <=> CH2O + H2O
102,True,0.0,CH3O + OH <=> CH2O + H2O
103,True,0.0,CH3OH + OH <=> CH2OH + H2O
104,True,0.0,CH3OH + OH <=> CH3O + H2O
105,True,0.0,C2H + OH <=> H + HCCO
106,True,0.0,C2H2 + OH <=> CH2CO + H
107,True,0.0,C2H2 + OH <=> H + HCCOH
108,True,0.0,C2H2 + OH <=> C2H + H2O
109,True,0.0,C2H2 + OH <=> CH3 + CO
110,True,0.0,C2H3 + OH <=> C2H2 + H2O
111,True,0.0,C2H4 + OH <=> C2H3 + H2O
112,True,0.0,C2H6 + OH <=> C2H5 + H2O
113,True,0.0,CH2CO + OH <=> H2O + HCCO
114,True,0.0,2 HO2 <=> H2O2 + O2
115,True,0.0,2 HO2 <=> H2O2 + O2
116,True,0.0,CH2 + HO2 <=> CH2O + OH
117,True,0.0023642287294754222,CH3 + HO2 <=> CH4 + O2
118,True,0.0,CH3 + HO2 <=> CH3O + OH
119,True,0.0,CO + HO2 <=> CO2 + OH
120,True,0.0,CH2O + HO2 <=> H2O2 + HCO
121,True,0.0,C + O2 <=> CO + O
122,True,0.0,C + CH2 <=> C2H + H
123,True,0.0,C + CH3 <=> C2H2 + H
124,True,0.0,CH + O2 <=> HCO + O
