reaction_index,kept,score_abs_initial_rop,equation
125,True,0.0,CH + H2 <=> CH2 + H
126,True,0.0,CH + H2O <=> CH2O + H
127,True,0.0,CH + CH2 <=> C2H2 + H
128,True,0.0,CH + CH3 <=> C2H3 + H
129,True,0.0,CH + CH4 <=> C2H4 + H
130,True,0.0,CH + CO (+M) <=> HCCO (+M)
131,True,0.0,CH + CO2 <=> CO + HCO
132,True,0.0,CH + CH2O <=> CH2CO + H
133,True,0.0,CH + HCCO <=> C2H2 + CO
134,True,0.0,CH2 + O2 => CO + H + OH
135,True,0.0,CH2 + H2 <=> CH3 + H
136,True,0.0,2 CH2 <=> C2H2 + H2
137,True,0.0,CH2 + CH3 <=> C2H4 + H
138,True,0.0,CH2 + CH4 <=> 2 CH3
139,True,0.0,CH2 + CO (+M) <=> CH2CO (+M)
140,True,0.0,CH2 + HCCO <=> C2H3 + CO
141,True,0.0,CH2(S) + N2 <=> CH2 + N2
142,True,0.0,AR + CH2(S) <=> AR + CH2
143,True,0.0,CH2(S) + O2 <=> CO + H + OH
144,True,0.0,CH2(S) + O2 <=> CO + H2O
145,True,0.0,CH2(S) + H2 <=> CH3 + H
146,True,0.0,CH2(S) + H2O (+M) <=> CH3OH (+M)
147,True,0.0,CH2(S) + H2O <=> CH2 + H2O
148,True,0.0,CH2(S) + CH3 <=> C2H4 + H
149,True,0.0,CH2(S) + CH4 <=> 2 CH3
150,True,0.0,CH2(S) + CO <=> CH2 + CO
151,True,0.0,CH2(S) + CO2 <=> CH2 + CO2
152,True,0.0,CH2(S) + CO2 <=> CH2O + CO
153,True,0.0,C2H6 + CH2(S) <=> C2H5 + CH3
154,True,0.0,CH3 + O2 <=> CH3O + O
155,True,0.0,CH3 + O2 <=> CH2O + OH
156,True,0.0,CH3 + H2O2 <=> CH4 + HO2
157,True,0.0,2 CH3 (+M) <=> C2H6 (+M)
158,True,0.0,2 CH3 <=> C2H5 + H
159,True,0.0,CH3 + HCO <=> CH4 + CO
160,True,0.0,CH2O + CH3 <=> CH4 + HCO
161,True,0.0,CH3 + CH3OH <=> CH2OH + CH4
162,True,0.0,CH3 + CH3OH <=> CH3O + CH4
163,True,0.0,C2H4 + CH3 <=> C2H3 + CH4
164,True,0.0,C2H6 + CH3 <=> C2H5 + CH4
165,True,0.0,HCO + H2O <=> CO + H + H2O
166,True,0.0,HCO + M <=> CO + H + M
167,True,0.0,HCO + O2 <=> CO + HO2
168,True,0.0,CH2OH + O2 <=> CH2O + HO2
169,True,0.0,CH3O + O2 <=> CH2O + HO2
170,True,0.0,C2H + O2 <=> CO + HCO
171,True,0.0,C2H + H2 <=> C2H2 + H
172,True,0.0,C2H3 + O2 <=> CH2O + HCO
173,True,0.0,C2H4 (+M) <=> C2H2 + H2 (+M)
174,True,0.0,C2H5 + O2 <=> C2H4 + HO2
175,True,0.0,HCCO + O2 <=> 2 CO + OH
176,True,0.0,2 HCCO <=> C2H2 + 2 CO
177,True,0.0,N + NO <=> N2 + O
178,True,0.0,N + O2 <=> NO + O
179,True,0.0,N + OH <=> H + NO
180,True,7.82230996220715e-11,N2O + O <=> N2 + O2
181,True,0.0,N2O + O <=> 2 NO
182,True,0.0,H + N2O <=> N2 + OH
183,True,0.0,N2O + OH <=> HO2 + N2
184,True,0.0,N2O (+M) <=> N2 + O (+M)
185,True,0.0,HO2 + NO <=> NO2 + OH
186,True,0.0,NO + O + M <=> NO2 + M
187,True,0.0,NO2 + O <=> NO + O2
188,True,0.0,H + NO2 <=> NO + OH
189,True,0.0,NH + O <=> H + NO
190,True,0.0,H + NH <=> H2 + N
191,True,0.0,NH + OH <=> H + HNO
192,True,0.0,NH + OH <=> H2O + N
193,True,0.0,NH + O2 <=> HNO + O
194,True,0.0,NH + O2 <=> NO + OH
195,True,0.0,N + NH <=> H + N2
196,True,0.0,H2O + NH <=> H2 + HNO
197,True,0.0,NH + NO <=> N2 + OH
198,True,0.0,NH + NO <=> H + N2O
199,True,0.0,NH2 + O <=> NH + OH
200,True,0.0,NH2 + O <=> H + HNO
201,True,0.0,H + NH2 <=> H2 + NH
202,True,0.0,NH2 + OH <=> H2O + NH
203,True,0.0,NNH <=> H + N2
204,True,0.0,NNH + M <=> H + N2 + M
205,True,0.0,NNH + O2 <=> HO2 + N2
206,True,0.0,NNH + O <=> N2 + OH
207,True,0.0,NNH + O <=> NH + NO
208,True,0.0,H + NNH <=> H2 + N2
209,True,0.0,NNH + OH <=> H2O + N2
210,True,2.498398261172604e-10,CH3 + NNH <=> CH4 + N2
211,True,0.0,H + NO + M <=> HNO + M
212,True,0.0,HNO + O <=> NO + OH
213,True,0.0,H + HNO <=> H2 + NO
214,True,0.0,HNO + OH <=> H2O + NO
215,True,0.0,HNO + O2 <=> HO2 + NO
216,True,0.0,CN + O <=> CO + N
217,True,0.0,CN + OH <=> H + NCO
218,True,0.0,CN + H2O <=> HCN + OH
219,True,0.0,CN + O2 <=> NCO + O
220,True,0.0,CN + H2 <=> H + HCN
221,True,0.0,NCO + O <=> CO + NO
222,True,0.0,H + NCO <=> CO + NH
223,True,0.0,NCO + OH <=> CO + H + NO
224,True,0.0,N + NCO <=> CO + N2
225,True,0.0,NCO + O2 <=> CO2 + NO
226,True,0.0,NCO + M <=> CO + N + M
227,True,0.0,NCO + NO <=> CO + N2O
228,True,0.0,NCO + NO <=> CO2 + N2
229,True,0.0,HCN + M <=> CN + H + M
230,True,0.0,HCN + O <=> H + NCO
231,True,0.0,HCN + O <=> CO + NH
232,True,0.0,HCN + O <=> CN + OH
233,True,0.0,HCN + OH <=> H + HOCN
234,True,0.0,HCN + OH <=> H + HNCO
235,True,0.0,HCN + OH <=> CO + NH2
236,True,0.0,H + HCN (+M) <=> H2CN (+M)
237,True,0.0,H2CN + N <=> CH2 + N2
238,True,0.0,C + N2 <=> CN + N
239,True,0.0,CH + N2 <=> HCN + N
240,True,0.0,CH + N2 (+M) <=> HCNN (+M)
241,True,0.0,CH2 + N2 <=> HCN + NH
242,True,0.0,CH2(S) + N2 <=> HCN + NH
243,True,0.0,C + NO <=> CN + O
244,True,0.0,C + NO <=> CO + N
245,True,0.0,CH + NO <=> HCN + O
246,True,0.0,CH + NO <=> H + NCO
247,True,0.0,CH + NO <=> HCO + N
248,True,0.0,CH2 + NO <=> H + HNCO
249,True,0.0,CH2 + NO <=> HCN + OH
250,True,0.0,CH2 + NO <=> H + HCNO
251,True,0.0,CH2(S) + NO <=> H + HNCO
252,True,0.0,CH2(S) + NO <=> HCN + OH
253,True,0.0,CH2(S) + NO <=> H + HCNO
254,True,0.0,CH3 + NO <=> H2O + HCN
255,True,0.0,CH3 + NO <=> H2CN + OH
256,True,0.0,HCNN + O <=> CO + H + N2
257,True,0.0,HCNN + O <=> HCN + NO
258,True,0.0,HCNN + O2 <=> HCO + N2 + O
259,True,0.0,HCNN + OH <=> H + HCO + N2
260,True,0.0,H + HCNN <=> CH2 + N2
261,True,0.0,HNCO + O <=> CO2 + NH
262,True,0.0,HNCO + O <=> CO + HNO
263,True,0.0,HNCO + O <=> NCO + OH
264,True,0.0,H + HNCO <=> CO + NH2
265,True,0.0,H + HNCO <=> H2 + NCO
266,True,0.0,HNCO + OH <=> H2O + NCO
267,True,0.0,HNCO + OH <=> CO2 + NH2
268,True,0.0,HNCO + M <=> CO + NH + M
269,True,0.0,H + HCNO <=> H + HNCO
270,True,0.0,H + HCNO <=> HCN + OH
271,True,0.0,H + HCNO <=> CO + NH2
272,True,0.0,H + HOCN <=> H + HNCO
273,True,0.0,HCCO + NO <=> CO + HCNO
274,True,0.0,CH3 + N <=> H + H2CN
275,True,0.0,CH3 + N <=> H2 + HCN
276,True,0.0,H + NH3 <=> H2 + NH2
277,True,0.0,NH3 + OH <=> H2O + NH2
278,True,0.0,NH3 + O <=> NH2 + OH
279,True,0.0,CO2 + NH <=> CO + HNO
280,True,0.0,CN + NO2 <=> NCO + NO
281,True,0.0,NCO + NO2 <=> CO2 + N2O
282,True,0.0,CO2 + N <=> CO + NO
283,True,0.0,CH3 + O => CO + H + H2
284,True,0.0,C2H4 + O <=> CH2CHO + H
285,True,0.0,C2H5 + O <=> CH3CHO + H
286,True,0.0,HO2 + OH <=> H2O + O2
287,True,0.0,CH3 + OH => CH2O + H2
288,True,0.0,CH + H2 (+M) <=> CH3 (+M)
289,True,0.0,CH2 + O2 => CO2 + 2 H
290,True,0.0,CH2 + O2 <=> CH2O + O
291,True,0.0,2 CH2 => C2H2 + 2 H
292,True,0.0,CH2(S) + H2O => CH2O + H2
293,True,0.0,C2H3 + O2 <=> CH2CHO + O
294,True,0.0,C2H3 + O2 <=> C2H2 + HO2
295,True,0.0,CH3CHO + O <=> CH2CHO + OH
296,True,0.0,CH3CHO + O => CH3 + CO + OH
297,True,0.0,CH3CHO + O2 => CH3 + CO + HO2
298,True,0.0,CH3CHO + H <=> CH2CHO + H2
299,True,0.0,CH3CHO + H => CH3 + CO + H2
300,True,0.0,CH3CHO + OH => CH3 + CO + H2O
301,True,0.0,CH3CHO + HO2 => CH3 + CO + H2O2
302,True,0.0,CH3CHO + CH3 => CH4 + CO + CH3
303,True,0.0,CH2CO + H (+M) <=> CH2CHO (+M)
304,True,0.0,CH2CHO + O => CH2 + CO2 + H
305,False,0.0,CH2CHO + O2 => CH2O + CO + OH
306,False,0.0,CH2CHO + O2 => 2 HCO + OH
307,False,0.0,CH2CHO + H <=> CH3 + HCO
308,False,0.0,CH2CHO + H <=> CH2CO + H2
309,False,0.0,CH2CHO + OH <=> CH2CO + H2O
310,False,0.0,CH2CHO + OH <=> CH2OH + HCO
311,False,0.0,C2H5 + CH3 (+M) <=> C3H8 (+M)
312,False,0.0,C3H8 + O <=> C3H7 + OH
313,False,0.0,C3H8 + H <=> C3H7 + H2
314,False,0.0,C3H8 + OH <=> C3H7 + H2O
315,False,0.0,C3H7 + H2O2 <=> C3H8 + HO2
316,False,0.0,C3H8 + CH3 <=> C3H7 + CH4
317,False,0.0,C2H4 + CH3 (+M) <=> C3H7 (+M)
318,False,0.0,C3H7 + O <=> C2H5 + CH2O
319,True,0.0,C3H7 + H (+M) <=> C3H8 (+M)
320,True,0.0,C3H7 + H <=> C2H5 + CH3
321,False,0.0,C3H7 + OH <=> C2H5 + CH2OH
322,False,0.0,C3H7 + HO2 <=> C3H8 + O2
323,True,0.0,C3H7 + HO2 => C2H5 + CH2O + OH
324,False,0.0,C3H7 + CH3 <=> 2 C2H5
