case_id,T0,P0,phi,t_end,T_final_full,T_final_reduced,T_final_delta,T_final_rel_pct,T_max_full,T_max_reduced,T_max_delta,density_final_full,density_final_reduced,density_final_rel_pct,ignition_delay_full_s,ignition_delay_reduced_s,X_CH4_final_full,X_CH4_final_reduced,X_CH4_final_abs_delta,X_O2_final_full,X_O2_final_reduced,X_O2_final_abs_delta,X_CO2_final_full,X_CO2_final_reduced,X_CO2_final_abs_delta,X_H2O_final_full,X_H2O_final_reduced,X_H2O_final_abs_delta,X_CO_final_full,X_CO_final_reduced,X_CO_final_abs_delta,X_H2_final_full,X_H2_final_reduced,X_H2_final_abs_delta,X_OH_final_full,X_OH_final_reduced,X_OH_final_abs_delta
c000,994.055,1732779.0899999999,1.6457,0.058463,1027.1264982816722,994.6347175879498,-32.491780693722376,-3.163366999885544,1027.1264982816722,994.6347175879498,-32.491780693722376,5.468150606462582,5.649654109840006,3.3192850095041795,nan,nan,0.1427377641637404,0.14729122297770006,0.00455345881395966,0.17468127882178097,0.17902485894822287,0.004343580126441898,1.724402281404893e-05,1.8497518585894033e-08,-1.7225525295463034e-05,0.004945245404734938,7.428686827114701e-05,-0.004870958536463792,0.0013823220914325552,8.20931890562697e-06,-0.001374112772526928,0.0003194694111932106,1.642576993648236e-06,-0.0003178268341995624,3.209763095476261e-08,3.9414852816576137e-11,-3.205821610194603e-08
c001,1246.805,966670.8975000001,1.4774,0.159857,2645.068451710454,2645.06846308921,1.1378755971236387e-05,4.301875803583921e-07,2647.520398219632,2645.06846308921,-2.4519351304220436,1.0933132756600694,1.093313271920563,-3.4203430668030357e-07,0.0035648910798697074,0.018193298021646504,2.9759261775290664e-11,2.4954137994749196e-11,-4.805123780541468e-12,8.639643723944673e-05,8.639633806771094e-05,-9.917173579196935e-11,0.03375669388295445,0.0337566886658755,-5.2170789494043746e-09,0.1733880227536739,0.1733880302084656,7.454791700611807e-09,0.0894083142018127,0.08940831953944753,5.337634834123861e-09,0.06978991173287959,0.06978990413364201,-7.599237572541995e-09,0.0023658178112242207,0.00236581780826657,-2.957650617474439e-12
c002,965.702,155898.645,1.7536,0.092226,965.752026399383,965.7279711178161,-0.024055281566916165,-0.0024908341799293517,965.752026399383,965.7279711178161,-0.024055281566916165,0.5214681445729208,0.5214811033673885,0.002485059653707968,nan,nan,0.15553924239820946,0.15554443630546516,5.19390725570168e-06,0.17739830917508445,0.17740114051439024,2.8313393057866065e-06,1.4694913068088462e-10,7.885019368244946e-11,-6.809893699843516e-11,7.84087623965426e-06,3.5088600727673034e-06,-4.332016166886957e-06,1.4281798502698126e-07,1.8817292566006275e-07,4.5354940633081496e-08,4.797592811577057e-07,1.6704962487797317e-07,-3.1270965627973255e-07,3.131750354089164e-11,1.2711494211276209e-11,-1.8606009329615432e-11
c003,1433.596,105378.0,1.1681,0.147093,2735.606480178042,2735.6051363809474,-0.0013437970947052236,-4.912245618813437e-05,2743.4987148381797,2735.6051363809474,-7.893578457232252,0.11983460655886632,0.119834652092046,3.799668641527694e-05,0.0024999371148016784,0.018327263484075085,1.2625989587137356e-14,6.921451922099484e-15,-5.704537665037872e-15,0.008021992176544621,0.008022093086170906,1.0090962628515887e-07,0.04560615139692735,0.045606281706430975,1.303095036250812e-07,0.16250305225355463,0.1625026596736689,-3.9257988573848657e-07,0.05737032851273901,0.05737018674667654,-1.4176606247251478e-07,0.03003365860130836,0.03003402424188656,3.656405782002936e-07,0.01579165217317615,0.01579168011845684,2.794528069019475e-08
c004,1060.134,1921132.1325,1.8521,0.015812,1071.4045959482114,1060.9824625921306,-10.422133356080849,-0.9727542140004619,1071.4045959482114,1060.9824625921306,-10.422133356080849,5.771679521214421,5.828956166829629,0.9923739771877821,nan,nan,0.16093661121514163,0.16271038046820216,0.0017737692530605254,0.17431211201949062,0.17572163615219955,0.0014095241327089225,2.6291582871203267e-06,3.5171484989524846e-08,-2.593986802130802e-06,0.0017942772765679837,0.0001109018800598008,-0.001683375396508183,0.00038606157210657093,1.3568060151205295e-05,-0.00037249351195536563,0.0001385691682521949,3.2507859277312327e-06,-0.00013531838232446367,9.756929169447392e-09,1.5957100765262494e-10,-9.597358161794767e-09
c005,917.812,1143635.01,1.9087,0.082429,917.9420569195491,917.8642919678778,-0.07776495167138364,-0.008471662354413637,917.9420569195491,917.8642919678778,-0.07776495167138364,4.00261501881347,4.002951547787302,0.00840772775422954,nan,nan,0.16698611664556795,0.16700027132808548,1.4154682517530937e-05,0.17498008807484547,0.1749895916194204,9.503544574934741e-06,2.9104165135086284e-10,1.4803316319699456e-10,-1.4300848815386827e-10,1.9618391653684775e-05,6.896493519447588e-06,-1.2721898134237187e-05,8.298319169557524e-07,3.2844939481787556e-07,-5.013825221378768e-07,2.931558719819044e-07,2.2149566461244012e-07,-7.166020736946426e-08,1.4563804084166895e-11,3.772672535262413e-12,-1.0791131548904481e-11
